restaurant_name,amenity_type,address,city,district,province,cuisine_type,phone,website,opening_hours,halal,vegetarian_friendly,latitude,longitude,osm_id,nearby_attractions,google_maps_link,image_url_1,image_url_2,image_url_3,image_url
Machan Curry Pot,Restaurant,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Curry,,,Mo-Su 12:00-22:00,,,5.967651,80.378058,12701781101.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Machan%20Curry%20Pot&query_place_id=&center=5.967651,80.378058",https://images.pexels.com/photos/1790574/pexels-photo-1790574.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/9703894/pexels-photo-9703894.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/31326827/pexels-photo-31326827.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/9271236/pexels-photo-9271236.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Piccadilly Parlour,Café,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Desserts,,,,,,5.971662,80.364861,13439512753.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Piccadilly%20Parlour&query_place_id=&center=5.971662,80.364861",https://images.pexels.com/photos/36183201/pexels-photo-36183201.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/29472397/pexels-photo-29472397.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/30294324/pexels-photo-30294324.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/17493822/pexels-photo-17493822.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Odara Foods,Restaurant,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Regional,,,,,,5.971694,80.365417,13439636412.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Odara%20Foods&query_place_id=&center=5.971694,80.365417",https://images.pexels.com/photos/110813/pexels-photo-110813.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/20291129/pexels-photo-20291129.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/31513219/pexels-photo-31513219.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/31500855/pexels-photo-31500855.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Manori’s Kitchen,Restaurant,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Sri Lankan,,,,,,5.970308,80.37127,13472741801.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Manori%E2%80%99s%20Kitchen&query_place_id=&center=5.970308,80.37127",https://images.pexels.com/photos/4393610/pexels-photo-4393610.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/762473/pexels-photo-762473.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/262047/pexels-photo-262047.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/260116/pexels-photo-260116.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Gang Kitchen,Restaurant,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Indian,,,Sa-Th 00:00-24:00,,Yes,5.975111,80.360964,13598259105.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Gang%20Kitchen&query_place_id=&center=5.975111,80.360964",https://images.pexels.com/photos/5987989/pexels-photo-5987989.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/127513/pexels-photo-127513.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/941861/pexels-photo-941861.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/262047/pexels-photo-262047.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
No fish today,Restaurant,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Sri Lankan,,https://www.tripadvisor.com/Restaurant_Review-g612380-d15647674-Reviews-No_Fish_Today-Weligama_Matara_Southern_Province.html,Mo-Sa 00:00-24:00,,,5.973063,80.361382,13624756801.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=No%20fish%20today&query_place_id=&center=5.973063,80.361382",https://images.pexels.com/photos/6307764/pexels-photo-6307764.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/2097090/pexels-photo-2097090.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/1581384/pexels-photo-1581384.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/260116/pexels-photo-260116.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Stick Fisherman View Seafood,Restaurant,Colombo-Matara Road,Ahangama,Galle,Southern Province,Sri Lankan,,,,,,5.983924,80.332732,421180686.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Stick%20Fisherman%20View%20Seafood&query_place_id=&center=5.983924,80.332732",https://images.pexels.com/photos/785541/pexels-photo-785541.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/34429979/pexels-photo-34429979.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/20460455/pexels-photo-20460455.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/29780295/pexels-photo-29780295.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Sun and Sea,Restaurant,"164, Galle Road",Aluthgama,Kalutara,Western Province,Seafood,+94779144742,http://www.sun-and-sea.com,,,,6.41254,79.999178,1620472835.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Sun%20and%20Sea&query_place_id=&center=6.41254,79.999178",https://images.pexels.com/photos/6876600/pexels-photo-6876600.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/10899479/pexels-photo-10899479.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/941861/pexels-photo-941861.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/8776014/pexels-photo-8776014.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Swe Lanka,Restaurant,"Aluthgama, Sri Lanka",Aluthgama,Kalutara,Western Province,Regional,,,,,,6.421518,80.001183,1621585352.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Swe%20Lanka&query_place_id=&center=6.421518,80.001183",https://images.pexels.com/photos/4400116/pexels-photo-4400116.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/32255675/pexels-photo-32255675.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/32399761/pexels-photo-32399761.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/35065203/pexels-photo-35065203.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Solid,Restaurant,"Aluthgama, Sri Lanka",Aluthgama,Kalutara,Western Province,Regional,,,,,,6.41816,79.997407,1621599326.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Solid&query_place_id=&center=6.41816,79.997407",https://images.pexels.com/photos/3951651/pexels-photo-3951651.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/29033379/pexels-photo-29033379.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/20291130/pexels-photo-20291130.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/18379889/pexels-photo-18379889.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
